internationalDesignator,noradCatalogNumber,breakupDateUtc,assessedCause,debrisCatalogedAtPublication
1961-015C,118,1961-06-29,PROPULSION,317
1962-057A,443,1962-10-29,PROPULSION,24
1963-047A,694,1963-11-27,PROPULSION,19
1964-070A,919,1964-11-05,DELIBERATE,96
1965-012A,1093,1965-02-22,DELIBERATE,167
1965-020D,1270,1965-03-15,UNKNOWN,147
1965-082DM,1822,1965-10-15,PROPULSION,473
1965-108A,1863,1965-12-21,PROPULSION,109
1965-088A,1706,1966-01-15,UNKNOWN,1
1966-012C,2015,1966-02-15,UNKNOWN,38
1966-059A,2289,1966-07-05,DELIBERATE,34
1966-088A,2437,1966-09-17,DELIBERATE,52
1966-101A,2536,1966-11-02,DELIBERATE,41
1968-003A,3099,1968-01-24,DELIBERATE,3
1968-025B,3171,1968-04-13,PROPULSION,16
1968-091A,3504,1968-10-20,DELIBERATE,108
1968-090A,3503,1968-11-01,"COLLISION, DELIBERATE",5
1968-097A,3530,1968-11-01,DELIBERATE,139
1969-029B,3836,1969-03-28,UNKNOWN,37
1969-064B,4052,1969-07-26,PROPULSION,22
1969-082AB,4159,1969-10-04,UNKNOWN,262
1970-025C,4367,1970-10-17,UNKNOWN,442
1970-089A,4594,1970-10-23,DELIBERATE,99
1970-091A,4598,1970-10-30,DELIBERATE,47
1971-015A,4964,1971-02-25,DELIBERATE,116
1971-106A,5646,1971-12-03,DELIBERATE,25
1973-017B,6399,1973-04-03,PROPULSION,25
1973-021A,6432,1973-05-06,DELIBERATE,193
1968-114B,3616,1973-11-15,PROPULSION,20
1973-086B,6921,1973-12-28,PROPULSION,222
1974-103A,7587,1975-04-17,UNKNOWN,50
1972-058B,6127,1975-05-22,PROPULSION,245
1966-056A,2253,1975-07-12,UNKNOWN,79
1974-089D,7532,1975-08-20,PROPULSION,185
1975-080A,8191,1975-09-06,DELIBERATE,76
1975-102A,8416,1976-01-25,UNKNOWN,62
1975-004B,7616,1976-02-09,PROPULSION,207
1976-072A,9046,1976-07-25,DELIBERATE,248
1976-126A,9634,1976-12-27,DELIBERATE,76
1976-123A,9614,1976-12-29,DELIBERATE,2
1976-105A,9495,1977-03-15,DELIBERATE,13
1976-063A,8932,1977-05-17,UNKNOWN,40
1977-065B,10144,1977-07-14,PROPULSION,177
1976-067A,9011,1977-09-29,BATTERY,70
1977-068A,10150,1977-10-24,DELIBERATE,6
1977-121A,10531,1977-12-21,DELIBERATE,70
1976-077B,9063,1977-12-24,PROPULSION,185
1977-027A,9911,1978-06-08,DELIBERATE,6
1977-092A,10365,1978-06-23,BATTERY,5
1978-083A,11015,1978-10-10,DELIBERATE,13
1976-120A,9601,1978-11-27,BATTERY,49
1977-047A,10059,1979-03-30,DELIBERATE,17
1979-077A,11509,1979-09-09,DELIBERATE,6
1979-033A,11333,1979-09-17,UNKNOWN,1
1979-101A,11635,1979-12-11,PROPULSION,27
1980-030A,11765,1980-04-18,DELIBERATE,46
1980-050A,11844,1980-08-26,DELIBERATE,8
1978-026C,10704,1981-01-27,PROPULSION,249
1979-087A,11561,1981-04-23,BATTERY,1
1980-057A,11871,1981-05-14,DELIBERATE,11
1980-021A,11729,1981-07-15,UNKNOWN,12
1981-053A,12504,1981-07-24,BATTERY,479
