jcat,issue_code,details
S49110,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S49111,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S50052,separation_after_recorded_end_used_launch_year,LDate='1982 Sep 16'; SDate='2021 Nov 15 0250?'; DDate='2002 Feb 19'
S50545,separation_after_recorded_end_used_launch_year,LDate='1982 Sep 16'; SDate='2021 Nov 15 0250?'; DDate='2002 Oct 16'
S51093,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51414,separation_after_recorded_end_used_launch_year,LDate='1982 Sep 16'; SDate='2021 Nov 15 0250?'; DDate='2020 Apr 22'
S51486,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51487,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51488,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51489,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51490,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51491,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51492,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51493,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51494,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51495,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51496,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51497,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51498,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51499,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51500,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51501,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51502,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51503,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51504,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51505,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51506,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51507,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51508,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51764,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51765,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S51766,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S52782,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S52783,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S52784,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S53351,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55113,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55114,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55115,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55116,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55117,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55118,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55119,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55120,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55121,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55122,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S55262,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S58026,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S58027,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S59149,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S59150,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S59151,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S62337,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S62338,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S64342,recorded_end_before_start_ignored_for_presence,LDate='2025 Jun 11'; SDate='2025 Jun 11 1540'; DDate='2024 Jul 24 0630?'
S64499,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S66789,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S66790,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S68406,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S68407,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
S69092,missing_start_year,No parseable LDate or SDate: LDate='-'; SDate='-'
