year,period_end_date,is_partial_year,object_class,appeared_count,ended_count,present_any_time_count,present_at_period_end_count
1957,1957-12-31,0,all,3,1,3,2
1957,1957-12-31,0,payload,2,0,2,2
1957,1957-12-31,0,rocket_body,1,1,1,0
1957,1957-12-31,0,component,0,0,0,0
1957,1957-12-31,0,debris,0,0,0,0
1957,1957-12-31,0,unknown,0,0,0,0
1957,1957-12-31,0,spurious,0,0,0,0
1958,1958-12-31,0,all,11,6,13,7
1958,1958-12-31,0,payload,8,5,10,5
1958,1958-12-31,0,rocket_body,2,1,2,1
1958,1958-12-31,0,component,1,0,1,1
1958,1958-12-31,0,debris,0,0,0,0
1958,1958-12-31,0,unknown,0,0,0,0
1958,1958-12-31,0,spurious,0,0,0,0
1959,1959-12-31,0,all,21,11,28,17
1959,1959-12-31,0,payload,15,11,20,9
1959,1959-12-31,0,rocket_body,3,0,4,4
1959,1959-12-31,0,component,3,0,4,4
1959,1959-12-31,0,debris,0,0,0,0
1959,1959-12-31,0,unknown,0,0,0,0
1959,1959-12-31,0,spurious,0,0,0,0
1960,1960-12-31,0,all,52,21,69,48
1960,1960-12-31,0,payload,21,12,30,18
1960,1960-12-31,0,rocket_body,10,3,14,11
1960,1960-12-31,0,component,20,6,24,18
1960,1960-12-31,0,debris,1,0,1,1
1960,1960-12-31,0,unknown,0,0,0,0
1960,1960-12-31,0,spurious,0,0,0,0
1961,1961-12-31,0,all,421,60,469,409
1961,1961-12-31,0,payload,43,26,61,35
1961,1961-12-31,0,rocket_body,13,11,24,13
1961,1961-12-31,0,component,37,15,55,40
1961,1961-12-31,0,debris,328,8,329,321
1961,1961-12-31,0,unknown,0,0,0,0
1961,1961-12-31,0,spurious,0,0,0,0
1962,1962-12-31,0,all,204,149,613,464
1962,1962-12-31,0,payload,82,57,117,60
1962,1962-12-31,0,rocket_body,40,25,53,28
1962,1962-12-31,0,component,40,27,80,53
1962,1962-12-31,0,debris,40,40,361,321
1962,1962-12-31,0,unknown,0,0,0,0
1962,1962-12-31,0,spurious,2,0,2,2
1963,1963-12-31,0,all,323,92,787,695
1963,1963-12-31,0,payload,75,46,135,89
1963,1963-12-31,0,rocket_body,31,21,59,38
1963,1963-12-31,0,component,167,7,220,213
1963,1963-12-31,0,debris,50,18,371,353
1963,1963-12-31,0,unknown,0,0,0,0
1963,1963-12-31,0,spurious,0,0,2,2
1964,1964-12-31,0,all,361,232,1056,824
1964,1964-12-31,0,payload,105,62,194,132
